AnalysisTime,Lot,Wafer,Date,XMLDataFile,TestSite,Exception,ErrorCode,ErrorMessage
2019-08-05 17:46:20.040000,P184640,D08,20190526_082853,P184640_D08_(-1 -1)_GORILLA5_DCM_GPDO.xml,DCM_GPDO,ProcessGPDError,-1,Structure GPDOTM_PDK not in file
2019-08-05 17:46:20.123000,P184640,D08,20190526_082853,P184640_D08_(-1 -3)_GORILLA5_DCM_GPDO.xml,DCM_GPDO,ProcessGPDError,-1,Structure GPDOTM_PDK not in file
2019-08-05 17:46:20.172000,P184640,D08,20190526_082853,P184640_D08_(-1 3)_GORILLA5_DCM_GPDO.xml,DCM_GPDO,ProcessGPDError,-1,Structure GPDOTM_PDK not in file
2019-08-05 17:46:20.223000,P184640,D08,20190526_082853,P184640_D08_(-3 -3)_GORILLA5_DCM_GPDO.xml,DCM_GPDO,ProcessGPDError,-1,Structure GPDOTM_PDK not in file
2019-08-05 17:46:20.283000,P184640,D08,20190526_082853,P184640_D08_(-3 0)_GORILLA5_DCM_GPDO.xml,DCM_GPDO,ProcessGPDError,-1,Structure GPDOTM_PDK not in file
2019-08-05 17:46:20.351000,P184640,D08,20190526_082853,P184640_D08_(-3 2)_GORILLA5_DCM_GPDO.xml,DCM_GPDO,ProcessGPDError,-1,Structure GPDOTM_PDK not in file
2019-08-05 17:46:20.398000,P184640,D08,20190526_082853,P184640_D08_(-4 -1)_GORILLA5_DCM_GPDO.xml,DCM_GPDO,ProcessGPDError,-1,Structure GPDOTM_PDK not in file
2019-08-05 17:46:20.450000,P184640,D08,20190526_082853,P184640_D08_(0 -4)_GORILLA5_DCM_GPDO.xml,DCM_GPDO,ProcessGPDError,-1,Structure GPDOTM_PDK not in file
2019-08-05 17:46:20.498000,P184640,D08,20190526_082853,P184640_D08_(0 0)_GORILLA5_DCM_GPDO.xml,DCM_GPDO,ProcessGPDError,-1,Structure GPDOTM_PDK not in file
2019-08-05 17:46:20.551000,P184640,D08,20190526_082853,P184640_D08_(0 2)_GORILLA5_DCM_GPDO.xml,DCM_GPDO,ProcessGPDError,-1,Structure GPDOTM_PDK not in file
2019-08-05 17:46:20.594000,P184640,D08,20190526_082853,P184640_D08_(2 -1)_GORILLA5_DCM_GPDO.xml,DCM_GPDO,ProcessGPDError,-1,Structure GPDOTM_PDK not in file
2019-08-05 17:46:20.641000,P184640,D08,20190526_082853,P184640_D08_(2 -3)_GORILLA5_DCM_GPDO.xml,DCM_GPDO,ProcessGPDError,-1,Structure GPDOTM_PDK not in file
2019-08-05 17:46:20.696000,P184640,D08,20190526_082853,P184640_D08_(2 2)_GORILLA5_DCM_GPDO.xml,DCM_GPDO,ProcessGPDError,-1,Structure GPDOTM_PDK not in file
2019-08-05 17:46:20.744000,P184640,D08,20190526_082853,P184640_D08_(3 0)_GORILLA5_DCM_GPDO.xml,DCM_GPDO,ProcessGPDError,-1,Structure GPDOTM_PDK not in file
